"id","title","author","url","status","open_time","close_time","reviewers"
"12082","Clarify how transition props work","gaearon","https://github.com/facebook/react/pull/8124","Merged","27/10/2016 13:21:01",,"[]"
"12083","Update reference-react-component.md","ElForastero","https://github.com/facebook/react/pull/8126","Merged","27/10/2016 16:45:27",,"[]"
"12084","[Fiber] Use synchronous scheduling by default","acdlite","https://github.com/facebook/react/pull/8127","Merged","27/10/2016 19:09:06",,"[""sebmarkbage"", ""gaearon""]"
"12085","[Fiber] Some early refactoring to be able to reuse the event system","sebmarkbage","https://github.com/facebook/react/pull/8128","Merged","28/10/2016 01:58:50",,"[]"
"12086","Organize and add confs","GantMan","https://github.com/facebook/react/pull/8129","Merged","28/10/2016 13:36:39",,"[]"
"12087","Normalize view and detail properties","sophiebits","https://github.com/facebook/react/pull/813","Merged","4/1/2014 18:51:15",,"[]"
"12088","Reduce minified files by removing old error messages","rickbeerendonk","https://github.com/facebook/react/pull/8130","Closed","28/10/2016 15:31:26",,"[]"
"12089","update-unknown-warning-page - add a reason for the warning","amsdamsgram","https://github.com/facebook/react/pull/8131","Merged","28/10/2016 16:04:17",,"[]"
"12090","[Fiber] Error boundaries should handle errors independently","gaearon","https://github.com/facebook/react/pull/8133","Merged","28/10/2016 20:27:31",,"[""acdlite"", ""sebmarkbage""]"
"12091","Add support for node 7","Shastel","https://github.com/facebook/react/pull/8135","Merged","28/10/2016 21:41:25",,"[]"
"12092","Update forms.md","SMHFandA","https://github.com/facebook/react/pull/8136","Merged","28/10/2016 22:23:55",,"[]"
"12093","Docs: add a bunch of redirects","lacker","https://github.com/facebook/react/pull/8137","Merged","28/10/2016 23:00:28",,"[]"
"12094","Fix broken React Facebook page link in support doc","andrewlo","https://github.com/facebook/react/pull/8138","Merged","28/10/2016 23:11:37",,"[]"
"12095","add missing verb","bel3atar","https://github.com/facebook/react/pull/8139","Merged","29/10/2016 00:12:09",,"[]"
"12096","Allow single component as children of ReactTransitionGroup","xixixao","https://github.com/facebook/react/pull/814","Closed","4/1/2014 22:24:54",,"[]"
"12097","Update codebase-overview.md","yongdamsh","https://github.com/facebook/react/pull/8142","Merged","29/10/2016 07:59:52",,"[""ivanzotov""]"
"12098","Add test case to insure object with tag number doesn't warn","ivanzotov","https://github.com/facebook/react/pull/8143","Closed","29/10/2016 11:04:12",,"[]"
"12099","Cleanup ReactErrorUtils","yuyokk","https://github.com/facebook/react/pull/8145","Merged","29/10/2016 13:45:29",,"[]"
